lesson_id,form,graded,kind,question,choices,correct_answer,points,explanation
1-1,notes,no,short,"A whole number greater than 1 with exactly two factors, 1 and itself, is a ___ number.",,,0,
1-1,notes,no,short,A whole number greater than 1 that has more than two factors is a ___ number.,,,0,
1-1,notes,no,short,Prime factorization: ___,,,0,
1-1,notes,no,short,I can break a number into its prime factors step by step using a ___.,,,0,
1-1,notes,no,short,"In 2³, the small number 3 is the ___ and it shows 2 is multiplied 3 times.",,,0,
1-1,notes,no,paragraph,"Mission Control needs to break the 60 supply crates into prime parts. Is 60 a prime number or a composite number, and how can you tell before you even start the factor tree?",,,0,
1-1,notes,no,paragraph,"Look at your factor tree for 60. How did you decide which numbers to break apart first, and how do you know when to stop?",,,0,
1-1,notes,no,paragraph,The party planner has 72 balloons. How could the prime factorization of 72 help her find every way to arrange the balloons in equal rows?,,,0,
1-1,notes,no,paragraph,"How is a prime number different from a composite number, and why can every composite number be written as a product of primes?",,,0,
1-1,notes,no,paragraph,How did you decide whether a number is prime or composite? What strategy did you use?,,,0,
1-1,notes,no,paragraph,How does prime factorization help the planner find all the ways to arrange the balloons?,,,0,
1-1,practice,no,mc,What is the prime factorization of 84?,2 × 2 × 3 × 7 | 2 × 42 | 4 × 21 | 2 × 2 × 21,,0,
1-1,practice,no,mc,Which number has the prime factorization 2³ × 5?,40 | 30 | 80 | 16,,0,
1-1,practice,no,mc,A number's prime factorization is 2² × 3 × 5. What is the number?,60 | 30 | 45 | 120,,0,
1-1,practice,no,mc,Which list shows ONLY prime numbers?,"2, 3, 11, 17 | 2, 4, 6, 9 | 3, 5, 9, 15 | 2, 7, 12, 13",,0,
1-1,practice,no,mc,Which of the following is a prime number?,17 | 15 | 21 | 9,,0,
1-1,practice,no,mc,What is the prime factorization of 30?,2 × 3 × 5 | 5 × 6 | 2 × 15 | 3 × 10,,0,
1-1,practice,no,mc,What is the prime factorization of 18?,2 × 3 × 3 | 2 × 9 | 3 × 6 | 6 × 3,,0,
1-1,practice,no,paragraph,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors?",,,0,
1-1,practice,no,mc,Which of these numbers is composite?,27 | 23 | 29 | 31,,0,
1-1,practice,no,paragraph,Match each number to its prime factorization.,,,0,
1-1,practice,no,paragraph,Build the factor tree. Write each number as a product of primes.,,,0,
1-1,practice,no,paragraph,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more?",,,0,
1-1,practice,no,mc,Two students found different factor trees for 60. Student A started with 2 × 30. Student B started with 6 × 10. Which statement is true?,Both get the same prime factorization: 2 × 2 × 3 × 5 | Only Student A gets the correct prime factorization | Only Student B gets the correct prime factorization | They will get different prime factorizations,,0,
1-1,practice,no,paragraph,Find Marcus's Mistake,,,0,
1-1,practice,no,paragraph,Choose any two-digit composite number. Show TWO different factor trees that both lead to the same prime factorization. Explain why every composite number has only one prime factorization.,,,0,
1-1,practice,no,paragraph,Write the prime factorization using exponents.,,,0,
1-1,quiz,yes,mc,What is the prime factorization of 84?,2 × 2 × 3 × 7 | 2 × 42 | 4 × 21 | 2 × 2 × 21,2 × 2 × 3 × 7,1,84 = 2 × 42 = 2 × 2 × 21 = 2 × 2 × 3 × 7. All factors are prime.
1-1,quiz,yes,mc,Which number has the prime factorization 2³ × 5?,40 | 30 | 80 | 16,40,1,2³ × 5 = 8 × 5 = 40.
1-1,quiz,yes,mc,A number's prime factorization is 2² × 3 × 5. What is the number?,60 | 30 | 45 | 120,60,1,2² × 3 × 5 = 4 × 3 × 5 = 60.
1-1,quiz,yes,mc,Which list shows ONLY prime numbers?,"2, 3, 11, 17 | 2, 4, 6, 9 | 3, 5, 9, 15 | 2, 7, 12, 13","2, 3, 11, 17",1,"2, 3, 11, and 17 each have exactly two factors. The other lists contain composite numbers like 4, 9, or 12."
1-1,quiz,yes,mc,Which of the following is a prime number?,17 | 15 | 21 | 9,17,1,"17 has exactly two factors: 1 and 17. 15 = 3 × 5, 21 = 3 × 7, and 9 = 3 × 3, so they are all composite."
1-1,quiz,yes,mc,What is the prime factorization of 30?,2 × 3 × 5 | 5 × 6 | 2 × 15 | 3 × 10,2 × 3 × 5,1,"30 = 2 × 15 = 2 × 3 × 5. All three factors (2, 3, 5) are prime, so 2 × 3 × 5 is the prime factorization."
1-1,quiz,yes,mc,What is the prime factorization of 18?,2 × 3 × 3 | 2 × 9 | 3 × 6 | 6 × 3,2 × 3 × 3,1,"18 = 2 × 9 = 2 × 3 × 3. Both 2 and 3 are prime, so 2 × 3 × 3 is the prime factorization."
1-1,quiz,yes,mc,Which of these numbers is composite?,27 | 23 | 29 | 31,27,1,"27 = 3 × 9 = 3 × 3 × 3, so it has more than two factors. 23, 29, and 31 are all prime."
1-1,quiz,yes,mc,Two students found different factor trees for 60. Student A started with 2 × 30. Student B started with 6 × 10. Which statement is true?,Both get the same prime factorization: 2 × 2 × 3 × 5 | Only Student A gets the correct prime factorization | Only Student B gets the correct prime factorization | They will get different prime factorizations,Both get the same prime factorization: 2 × 2 × 3 × 5,1,"The Fundamental Theorem of Arithmetic says every composite number has exactly one prime factorization. No matter how you start the factor tree, you always end with 2 × 2 × 3 × 5."
